name,length
Apatura ilia,5.4
Appias indra,5.4
Cupha arias,5.4
Anaea andria,5.38
Charaxes manica,5.38
Asterope markii,5.37
Callicore texa,5.37
Chlosyne marina,5.37
Appias nephele,5.36
Anaea aidea,5.35
Bebearia oxione,5.35
Chitoria sordida,5.35
Acraea natalica,5.33
Athyma selenophora,5.33
Biblis hyperia,5.32
Colotis ione,5.32
Aporia bieti,5.3
Cepora iudith,5.3
Arhopala hercules,5.29
Bebearia cutteri,5.29
Cepora judith,5.28
Cupha prosope,5.27
Athyma abiasa,5.25
Chazara prieuri,5.24
Acraea equatorialis,5.23
Catopsilia scylla,5.23
Colias aurorina,5.23
Acraea quirina,5.22
Athyma ranga,5.22
Aphrissa fluminensis,5.21
Acraea aurivillii,5.19
Catonephele nyctimus,5.19
Aporia hippia,5.17
Aterica rabena,5.17
Athyma kasa,5.16
Catacroptera cloanthe,5.14
Charaxes pleione,5.14
Cirrochroa orissa,5.14
Bebearia phantasia,5.13
Allancastria cerisyi,5.12
Acraea braesia,5.11
Charaxes baumanni,5.11
Callicore pitheas,5.1
Cepora timnatha,5.1
Athyma zeroca,5.09
Callicore felderi,5.09
Acraea asboloplintha,5.08
Aterica galene,5.08
Charaxes zoolina,5.08
Adelpha thessalia,5.07
Cyrestis strigata,5.07
Brenthis daphne,5.06
Callicore cynosura,5.04
Colias heos,5.04
Asterope degandii,5.03
Belenois java,5.02
Bebearia flaminia,5
Cymothoe coccinata,4.99
Callicore astarte,4.98
Chazara heydenreichi,4.98
Chlosyne gaudialis,4.96
Anthocharis scolymus,4.95
Appias clementina,4.95
Athyma jina,4.95
Charaxes anticlea,4.95
Coeliades pisistratus,4.95
Archon apollinus,4.93
Acraea eltringhami,4.92
Acraea johnstoni,4.92
Appias epaphia,4.91
Cepora boisduvaliana,4.9
Athyma kanwa,4.89
Colias christina,4.89
Belenois thysa,4.88
Catasticta corcyra,4.88
Cyrestis thyonneus,4.88
Allancastria caucasica,4.87
Colias romanovi,4.87
Asterocampa clyton,4.86
Acraea pharsalus,4.85
Ariadne enotrea,4.84
Athyma cama,4.84
Adelpha mesentina,4.83
Acraea peneleos,4.82
Adelpha lycorias,4.82
Aporia martineti,4.81
Adelpha erotia,4.8
Araschnia doris,4.8
Bebearia barce,4.8
Catopsilia florella,4.8
Callicore atacama,4.79
Adelpha delinita,4.78
Ascia monuste,4.77
Acraea dammii,4.76
Acraea semivitrea,4.74
Belenois zochalia,4.74
Cynandra opis,4.74
Asterocampa idyja,4.73
Chazara persephone,4.73
Cyrestis camillus,4.73
Asterocampa celtis,4.72
Colias wiskotti,4.72
Abaeis nicippe,4.71
Antanartia schaeneia,4.7
Belenois raffrayi,4.7
Coeliades forestan,4.7
Creonpyge creon,4.7
Acraea ventura,4.69
Colias palaeno,4.69
Acraea parrhasia,4.68
Boloria frigga,4.68
Catasticta sisamnus,4.68
Acraea rabbaiae,4.67
Bebearia mandinga,4.67
Colias christophi,4.65
Catasticta teutila,4.64
Colotis elgonensis,4.63
Adelpha epione,4.61
Appias pandione,4.61
Acraea insignis,4.6
Athyma nefte,4.59
Cirrochroa satellita,4.59
Adelpha boeotia,4.58
Acraea caecilia,4.57
Appias sylvia,4.56
Cepora nadina,4.56
Athyma pravara,4.55
Colias alpherakii,4.55
Catasticta flisa,4.54
Catasticta nimbice,4.54
Colotis erone,4.54
Aporia lhamo,4.53
Acraea eponina,4.52
Antanartia delius,4.5
Appias libythea,4.49
Adelpha nea,4.48
Colias sifanica,4.48
Altinote negra,4.47
Belenois solilucis,4.47
Colias sagartia,4.47
Boeberia parmenio,4.46
Argyrophorus argenteus,4.45
Baronia brevicornis,4.45
Belenois gidica,4.45
Acraea neobule,4.44
Coeliades chalybe,4.42
Cercyonis oetus,4.41
Clossiana oscarus,4.41
Colias pelidne,4.41
Arhopala philander,4.4
Cepora laeta,4.4
Colotis incretus,4.4
Clossiana thore,4.39
Acraea oncaea,4.38
Adelpha capucinus,4.37
Catacore kolyma,4.37
Chlosyne janais,4.37
Coeliades libeon,4.37
Acraea ranavalona,4.36
Asterope leprieuri,4.36
Anartia amathea,4.35
Catasticta manco,4.35
Colias diva,4.35
Altinote stratonice,4.34
Colias lesbia,4.34
Colotis eris,4.34
Curetis acuta,4.33
Altinote ozomene,4.31
Archigenes savitri,4.31
Choaspes benjaminii,4.31
Cyrestis acilia,4.31
Catasticta poujadei,4.3
Colias meadii,4.3
Ariadne ariadne,4.27
Chlosyne lacinia,4.27
Antigonis pharsalia,4.26
Bebearia tentyris,4.26
Colias alexandra,4.25
Callicore hystaspes,4.24
Colias hyale,4.24
Colias regia,4.23
Chazara kaufmanni,4.22
Belenois aurota,4.21
Colias philodice,4.21
Bebearia absolon,4.2
Callicore eunomia,4.2
Arhopala micale,4.19
Chlosyne harrisii,4.19
Aglais urticae,4.18
Bia actorion,4.18
Colias eogene,4.18
Cybdelis phaesyla,4.18
