Species
Megalagrion jugorum
Megalagrion oceanicum
Megalagrion pacificum
Megalagrion xanthomelas
Megalagrion oahuense
Catharsius rhinoceros
Copris victorini
Paraphytus africanus
Coptorhina nitefacta
Anomiopus parallelus
Cheironitis indicus
Ateuchus latus
Onthophagus manya
Canthidium calidum
Onitis parvulus
Canthon divinator
Coptodactyla lesnei
Onitis granulisetosus
Anomiopus bonariensis
Cryptocanthon nebulinus
Scarabaeus namibicus
Anisocanthon pygmaeus
Heliocopris faunus
Ateuchus euchalceus
Dichotomius schiffleri
Canthidium luteum
Canthon gemellatus
Onthophagus lamgalio
Scatonomus xanthopygus
Epirinus gratus
Neosisyphus macrorubrus
Canthon corpulentus
Onthophagus rufosignatus
Thyregis relictus
Dicranocara deschodti
Sulcophanaeus actaeon
Anomiopus smaragdinus
Bdelyrus grandis
Scarabaeus galenus
Frankenbergerius opacus
Onthophagus villanuevai
Canthon podagricus
Eodrepanus fastiditus
Dichotomius nimuendaju
Cryptocanthon genieri
Frankenbergerius armatus
Coprophanaeus terrali
Dichotomius worontzowi
Onthophagus lacustris
Onitis aeruginosus
Cryptocanthon rayonensis
Demarziella storeyi
Onthophagus pugionatus
Canthidium viride
Copris inhalatus
Onthophagus fuscivestis
Canthon simulans
Onthophagus cavia
Onitis mniszechi
Canthon coloratus
Sauvagesinella palustris
Demarziella eungella
Bdelyrus paraensis
Mimonthophagus limbibasis
Canthidium erythropterum
Ontherus grandis
Dichotomius dahli
Canthidium angulicolle
Temnoplectron cooki
Scarabaeus damarensis
Onthophagus bubalus
Sisyphus fasciculatus
Anomiopus howdeni
Onthophagus surdus
Gyronotus mulanjensis
Onthophagus subocelliger
Temnoplectron rotundum
Onthophagus alquirta
Scarabaeus nigroaeneus
Canthon luctuosus
Onthophagus cyaneoniger
Pedaria ovata
Caccobius ferrugineus
Deltorrhinum batesi
Canthidium bokermanni
Onthophagus vilis
Epirinus sulcipennis
Onthophagus parallelicornis
Onthophagus azusae
Dichotomius glaucus
Onthophagus muticus
Onthophagus diversiformis
Onthophagus eschscholtzi
Gymnopleurus andreaei
Pachysoma aesculapius
Onthophagus granulatus
Copris amabilis
Allogymnopleurus chloris
Canthidium atomarium
Pedaria morettoi
Onthophagus kavirondus
Canthidium latum
Uroxys variabilis
Gymnopleurus thelwalli
Onthophagus gulmarri
Cryptocanthon brevisetosus
Bdelyrus metaensis
Canthidium flabellatum
Gymnopleurus aeruginosus
Onthophagus mundill
Oniticellus pseudoplanatus
Scybalocanthon trimaculatus
Anomiopus nigrocoeruleus
Copris maesi
Pedaria spinithorax
Coptodactyla nitida
Canthidium subdopuncticolle
