cluster,file,path
2,Acraea rogersi IMG_125787.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea rogersi\Acraea rogersi IMG_125787.png
2,Aegiale hesperiaris IMG_090097.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aegiale hesperiaris\Aegiale hesperiaris IMG_090097.png
2,Aglais milberti IMG_032041.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aglais milberti\Aglais milberti IMG_032041.png
2,Aglais urticae IMG_108510.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aglais urticae\Aglais urticae IMG_108510.png
2,Apatura laverna IMG_125545.png,images\Tan_batch_2_to_Cyrestis_tancrop\Apatura laverna\Apatura laverna IMG_125545.png
2,Apatura metis IMG_123285.png,images\Tan_batch_2_to_Cyrestis_tancrop\Apatura metis\Apatura metis IMG_123285.png
2,Bolboneura sylphis IMG_107707.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bolboneura sylphis\Bolboneura sylphis IMG_107707.png
2,Cephrenes trichopepla IMG_012772.png,images\Tan_batch_2_to_Cyrestis_tancrop\Cephrenes trichopepla\Cephrenes trichopepla IMG_012772.png
2,Chlosyne lacinia IMG_052056.png,images\Tan_batch_2_to_Cyrestis_tancrop\Chlosyne lacinia\Chlosyne lacinia IMG_052056.png
2,Chlosyne marina IMG_053308.png,images\Tan_batch_2_to_Cyrestis_tancrop\Chlosyne marina\Chlosyne marina IMG_053308.png
2,Colotis amata IMG_087384.png,images\Tan_batch_2_to_Cyrestis_tancrop\Colotis amata\Colotis amata IMG_087384.png
2,Colotis chrysonome IMG_087395.png,images\Tan_batch_2_to_Cyrestis_tancrop\Colotis chrysonome\Colotis chrysonome IMG_087395.png
20,Acraea acerata IMG_124744.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea acerata\Acraea acerata IMG_124744.png
20,Acraea alcinoe IMG_106720.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea alcinoe\Acraea alcinoe IMG_106720.png
20,Acraea alciope IMG_124398.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea alciope\Acraea alciope IMG_124398.png
20,Acraea aurivillii IMG_158279.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea aurivillii\Acraea aurivillii IMG_158279.png
20,Acraea epaea IMG_106765.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea epaea\Acraea epaea IMG_106765.png
20,Acraea esebria IMG_124404.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea esebria\Acraea esebria IMG_124404.png
20,Acraea igati IMG_106432.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea igati\Acraea igati IMG_106432.png
20,Acraea jodutta IMG_124417.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea jodutta\Acraea jodutta IMG_124417.png
20,Acraea macaria IMG_106725.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea macaria\Acraea macaria IMG_106725.png
20,Acraea macarista IMG_106816.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea macarista\Acraea macarista IMG_106816.png
20,Acraea peneleos IMG_124552.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea peneleos\Acraea peneleos IMG_124552.png
20,Acraea poggei IMG_106820.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea poggei\Acraea poggei IMG_106820.png
20,Acraea quadricolor IMG_106789.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea quadricolor\Acraea quadricolor IMG_106789.png
20,Acraea quirina IMG_106405.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea quirina\Acraea quirina IMG_106405.png
20,Acraea umbra IMG_106729.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea umbra\Acraea umbra IMG_106729.png
20,Acraea vestalis IMG_106740.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea vestalis\Acraea vestalis IMG_106740.png
20,Actinote genitrix IMG_115581.png,images\Tan_batch_2_to_Cyrestis_tancrop\Actinote genitrix\Actinote genitrix IMG_115581.png
20,Actinote thalia IMG_123721.png,images\Tan_batch_2_to_Cyrestis_tancrop\Actinote thalia\Actinote thalia IMG_123721.png
20,Altinote stratonice IMG_123669.png,images\Tan_batch_2_to_Cyrestis_tancrop\Altinote stratonice\Altinote stratonice IMG_123669.png
20,Appias nephele IMG_083404.png,images\Tan_batch_2_to_Cyrestis_tancrop\Appias nephele\Appias nephele IMG_083404.png
30,Acraea acrita IMG_125194.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea acrita\Acraea acrita IMG_125194.png
30,Acraea braesia IMG_125342.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea braesia\Acraea braesia IMG_125342.png
30,Acraea caecilia IMG_124993.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea caecilia\Acraea caecilia IMG_124993.png
30,Acraea encedon IMG_117012.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea encedon\Acraea encedon IMG_117012.png
30,Acraea natalica IMG_124937.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea natalica\Acraea natalica IMG_124937.png
30,Acraea oncaea IMG_125123.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea oncaea\Acraea oncaea IMG_125123.png
30,Acraea pseudegina IMG_158291.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea pseudegina\Acraea pseudegina IMG_158291.png
30,Acraea rahira IMG_124973.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea rahira\Acraea rahira IMG_124973.png
30,Anetia jaegeri IMG_113892.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anetia jaegeri\Anetia jaegeri IMG_113892.png
30,Anetia pantheratus IMG_113902.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anetia pantheratus\Anetia pantheratus IMG_113902.png
30,Argynnis paphia IMG_105702.png,images\Tan_batch_2_to_Cyrestis_tancrop\Argynnis paphia\Argynnis paphia IMG_105702.png
30,Argyreus hyperbius IMG_151988.png,images\Tan_batch_2_to_Cyrestis_tancrop\Argyreus hyperbius\Argyreus hyperbius IMG_151988.png
30,Argyreus hyperbius IMG_151989_R.png,images\Tan_batch_2_to_Cyrestis_tancrop\Argyreus hyperbius\Argyreus hyperbius IMG_151989_R.png
30,Asterocampa celtis IMG_105089.png,images\Tan_batch_2_to_Cyrestis_tancrop\Asterocampa celtis\Asterocampa celtis IMG_105089.png
30,Asterope degandii IMG_151582_R.png,images\Tan_batch_2_to_Cyrestis_tancrop\Asterope degandii\Asterope degandii IMG_151582_R.png
30,Bebearia mandinga IMG_097201.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bebearia mandinga\Bebearia mandinga IMG_097201.png
30,Boloria caucasica IMG_066469.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria caucasica\Boloria caucasica IMG_066469.png
30,Carterocephalus silvicola IMG_161007.png,images\Tan_batch_2_to_Cyrestis_tancrop\Carterocephalus silvicola\Carterocephalus silvicola IMG_161007.png
30,Charaxes jahlusa IMG_156883.png,images\Tan_batch_2_to_Cyrestis_tancrop\Charaxes jahlusa\Charaxes jahlusa IMG_156883.png
30,Childrena childreni IMG_112305_R copy.png,images\Tan_batch_2_to_Cyrestis_tancrop\Childrena childreni\Childrena childreni IMG_112305_R copy.png
10,Acraea aganice IMG_106797.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea aganice\Acraea aganice IMG_106797.png
10,Acraea cabira IMG_124678.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea cabira\Acraea cabira IMG_124678.png
10,Acraea lycoa IMG_124387.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea lycoa\Acraea lycoa IMG_124387.png
10,Acraea parrhasia IMG_124517.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea parrhasia\Acraea parrhasia IMG_124517.png
10,Amauris crawshayi IMG_115017.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris crawshayi\Amauris crawshayi IMG_115017.png
10,Amauris damocles IMG_114926.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris damocles\Amauris damocles IMG_114926.png
10,Amauris echeria IMG_114968.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris echeria\Amauris echeria IMG_114968.png
10,Amauris ellioti IMG_114956.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris ellioti\Amauris ellioti IMG_114956.png
10,Amauris hecate IMG_115027.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris hecate\Amauris hecate IMG_115027.png
10,Amauris hyalites IMG_114920.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris hyalites\Amauris hyalites IMG_114920.png
10,Amauris inferna IMG_115033.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris inferna\Amauris inferna IMG_115033.png
10,Amauris niavius IMG_115040.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris niavius\Amauris niavius IMG_115040.png
10,Amauris ochlea IMG_114936.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris ochlea\Amauris ochlea IMG_114936.png
10,Amauris tartarea IMG_114878.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris tartarea\Amauris tartarea IMG_114878.png
10,Amauris vashti IMG_114928.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amauris vashti\Amauris vashti IMG_114928.png
10,Aporia acraea IMG_085377.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aporia acraea\Aporia acraea IMG_085377.png
10,Aterica galene IMG_096895.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aterica galene\Aterica galene IMG_096895.png
