cluster,file,path
41,Abaeis nicippe IMG_076290.png,images\Tan_batch_1_to_Acraea_Tancrop\Abaeis nicippe\Abaeis nicippe IMG_076290.png
41,Anthocharis cethura IMG_088083.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anthocharis cethura\Anthocharis cethura IMG_088083.png
41,Anthocharis euphenoides IMG_088283.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anthocharis euphenoides\Anthocharis euphenoides IMG_088283.png
60,Abisara echerius IMG_028034.png,images\Tan_batch_1_to_Acraea_Tancrop\Abisara echerius\Abisara echerius IMG_028034.png
60,Archigenes savitri IMG_028080.png,images\Tan_batch_2_to_Cyrestis_tancrop\Archigenes savitri\Archigenes savitri IMG_028080.png
59,Abisara geza IMG_028021.png,images\Tan_batch_1_to_Acraea_Tancrop\Abisara geza\Abisara geza IMG_028021.png
59,Coenonympha hero IMG_158330.png,images\Tan_batch_2_to_Cyrestis_tancrop\Coenonympha hero\Coenonympha hero IMG_158330.png
-1,Abisara neavei IMG_028084.png,images\Tan_batch_1_to_Acraea_Tancrop\Abisara neavei\Abisara neavei IMG_028084.png
-1,Acraea braesia IMG_125342.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea braesia\Acraea braesia IMG_125342.png
-1,Acraea caecilia IMG_124993.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea caecilia\Acraea caecilia IMG_124993.png
-1,Acraea chilo IMG_117004.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea chilo\Acraea chilo IMG_117004.png
-1,Acraea conradti IMG_124572.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea conradti\Acraea conradti IMG_124572.png
-1,Acraea eponina IMG_124720.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea eponina\Acraea eponina IMG_124720.png
-1,Acraea jodutta IMG_124417.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea jodutta\Acraea jodutta IMG_124417.png
-1,Acraea oncaea IMG_125123.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea oncaea\Acraea oncaea IMG_125123.png
-1,Acraea pseudegina IMG_158291.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea pseudegina\Acraea pseudegina IMG_158291.png
-1,Acraea vestalis IMG_106740.png,images\Tan_batch_1_to_Acraea_Tancrop\Acraea vestalis\Acraea vestalis IMG_106740.png
-1,Adelpha alala IMG_095844.png,images\Tan_batch_2_to_Cyrestis_tancrop\Adelpha alala\Adelpha alala IMG_095844.png
-1,Adelpha californica IMG_108365.png,images\Tan_batch_2_to_Cyrestis_tancrop\Adelpha californica\Adelpha californica IMG_108365.png
-1,Adelpha erotia IMG_100051.png,images\Tan_batch_2_to_Cyrestis_tancrop\Adelpha erotia\Adelpha erotia IMG_100051.png
-1,Adelpha mesentina IMG_095620.png,images\Tan_batch_2_to_Cyrestis_tancrop\Adelpha mesentina\Adelpha mesentina IMG_095620.png
-1,Adelpha nea IMG_095606.png,images\Tan_batch_2_to_Cyrestis_tancrop\Adelpha nea\Adelpha nea IMG_095606.png
-1,Agraulis vanillae IMG_062689.png,images\Tan_batch_2_to_Cyrestis_tancrop\Agraulis vanillae\Agraulis vanillae IMG_062689.png
-1,Agriades lehanus IMG_004213.png,images\Tan_batch_2_to_Cyrestis_tancrop\Agriades lehanus\Agriades lehanus IMG_004213.png
-1,Aldania thisbe IMG_117481.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aldania thisbe\Aldania thisbe IMG_117481.png
-1,Alesa amesis IMG_028890.png,images\Tan_batch_2_to_Cyrestis_tancrop\Alesa amesis\Alesa amesis IMG_028890.png
-1,Algia fasciata IMG_067640.png,images\Tan_batch_2_to_Cyrestis_tancrop\Algia fasciata\Algia fasciata IMG_067640.png
-1,Allancastria cerisyi IMG_089188.png,images\Tan_batch_2_to_Cyrestis_tancrop\Allancastria cerisyi\Allancastria cerisyi IMG_089188.png
-1,Alpherakya devanica IMG_110790.png,images\Tan_batch_2_to_Cyrestis_tancrop\Alpherakya devanica\Alpherakya devanica IMG_110790.png
-1,Altinote ozomene IMG_123685.png,images\Tan_batch_2_to_Cyrestis_tancrop\Altinote ozomene\Altinote ozomene IMG_123685.png
-1,Altinote stratonice IMG_123669.png,images\Tan_batch_2_to_Cyrestis_tancrop\Altinote stratonice\Altinote stratonice IMG_123669.png
-1,Amathuxidia amythaon IMG_058524.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amathuxidia amythaon\Amathuxidia amythaon IMG_058524.png
-1,Amblypodia anita IMG_018491.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amblypodia anita\Amblypodia anita IMG_018491.png
-1,Amblypodia annetta IMG_018449.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amblypodia annetta\Amblypodia annetta IMG_018449.png
-1,Amnosia decora IMG_061204.png,images\Tan_batch_2_to_Cyrestis_tancrop\Amnosia decora\Amnosia decora IMG_061204.png
-1,Anartia amathea IMG_157528.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anartia amathea\Anartia amathea IMG_157528.png
-1,Anartia lytrea IMG_061264.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anartia lytrea\Anartia lytrea IMG_061264.png
-1,Antanartia delius IMG_031702.png,images\Tan_batch_2_to_Cyrestis_tancrop\Antanartia delius\Antanartia delius IMG_031702.png
-1,Anteros bracteata IMG_027050.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anteros bracteata\Anteros bracteata IMG_027050.png
-1,Anthene larydas IMG_001602.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anthene larydas\Anthene larydas IMG_001602.png
-1,Anthocharis cardamines IMG_088200.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anthocharis cardamines\Anthocharis cardamines IMG_088200.png
-1,Anthocharis midea IMG_088095.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anthocharis midea\Anthocharis midea IMG_088095.png
-1,Anthocharis sara IMG_088005.png,images\Tan_batch_2_to_Cyrestis_tancrop\Anthocharis sara\Anthocharis sara IMG_088005.png
-1,Antigius attilia IMG_017800.png,images\Tan_batch_2_to_Cyrestis_tancrop\Antigius attilia\Antigius attilia IMG_017800.png
-1,Antirrhea geryon IMG_039214.png,images\Tan_batch_2_to_Cyrestis_tancrop\Antirrhea geryon\Antirrhea geryon IMG_039214.png
-1,Apaturina erminia IMG_155571.png,images\Tan_batch_2_to_Cyrestis_tancrop\Apaturina erminia\Apaturina erminia IMG_155571.png
-1,Apaturopsis cleochares IMG_105595.png,images\Tan_batch_2_to_Cyrestis_tancrop\Apaturopsis cleochares\Apaturopsis cleochares IMG_105595.png
-1,Appias indra IMG_083374.png,images\Tan_batch_2_to_Cyrestis_tancrop\Appias indra\Appias indra IMG_083374.png
-1,Appias nephele IMG_083404.png,images\Tan_batch_2_to_Cyrestis_tancrop\Appias nephele\Appias nephele IMG_083404.png
-1,Appias placidia IMG_083328.png,images\Tan_batch_2_to_Cyrestis_tancrop\Appias placidia\Appias placidia IMG_083328.png
-1,Arawacus dolylas IMG_020392.png,images\Tan_batch_2_to_Cyrestis_tancrop\Arawacus dolylas\Arawacus dolylas IMG_020392.png
-1,Arcas imperialis IMG_019817_R.png,images\Tan_batch_2_to_Cyrestis_tancrop\Arcas imperialis\Arcas imperialis IMG_019817_R.png
-1,Archaeoprepona chalciope IMG_119445.png,images\Tan_batch_2_to_Cyrestis_tancrop\Archaeoprepona chalciope\Archaeoprepona chalciope IMG_119445.png
-1,Archaeoprepona licomedes IMG_119105.png,images\Tan_batch_2_to_Cyrestis_tancrop\Archaeoprepona licomedes\Archaeoprepona licomedes IMG_119105.png
-1,Archonias brassolis IMG_084846.png,images\Tan_batch_2_to_Cyrestis_tancrop\Archonias brassolis\Archonias brassolis IMG_084846.png
-1,Arhopala hercules IMG_018429.png,images\Tan_batch_2_to_Cyrestis_tancrop\Arhopala hercules\Arhopala hercules IMG_018429.png
-1,Ariadne ariadne IMG_098805.png,images\Tan_batch_2_to_Cyrestis_tancrop\Ariadne ariadne\Ariadne ariadne IMG_098805.png
-1,Ariadne enotrea IMG_091255.png,images\Tan_batch_2_to_Cyrestis_tancrop\Ariadne enotrea\Ariadne enotrea IMG_091255.png
-1,Ariadne pagenstecheri IMG_098960.png,images\Tan_batch_2_to_Cyrestis_tancrop\Ariadne pagenstecheri\Ariadne pagenstecheri IMG_098960.png
-1,Aricia agestis IMG_004288.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aricia agestis\Aricia agestis IMG_004288.png
-1,Aricia anteros IMG_004450.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aricia anteros\Aricia anteros IMG_004450.png
-1,Aricia morronensis IMG_004420.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aricia morronensis\Aricia morronensis IMG_004420.png
-1,Asterocampa idyja IMG_105064.png,images\Tan_batch_2_to_Cyrestis_tancrop\Asterocampa idyja\Asterocampa idyja IMG_105064.png
-1,Asterope buckleyi IMG_103635.png,images\Tan_batch_2_to_Cyrestis_tancrop\Asterope buckleyi\Asterope buckleyi IMG_103635.png
-1,Asterope degandii IMG_151582_R.png,images\Tan_batch_2_to_Cyrestis_tancrop\Asterope degandii\Asterope degandii IMG_151582_R.png
-1,Asterope markii IMG_103617.png,images\Tan_batch_2_to_Cyrestis_tancrop\Asterope markii\Asterope markii IMG_103617.png
-1,Aterica rabena IMG_096933.png,images\Tan_batch_2_to_Cyrestis_tancrop\Aterica rabena\Aterica rabena IMG_096933.png
-1,Athyma nefte IMG_089013.png,images\Tan_batch_2_to_Cyrestis_tancrop\Athyma nefte\Athyma nefte IMG_089013.png
-1,Atrophaneura dixoni IMG_130051.png,images\Tan_batch_2_to_Cyrestis_tancrop\Atrophaneura dixoni\Atrophaneura dixoni IMG_130051.png
-1,Atrophaneura priapus IMG_173308.png,images\Tan_batch_2_to_Cyrestis_tancrop\Atrophaneura priapus\Atrophaneura priapus IMG_173308.png
-1,Atrophaneura semperi IMG_158104_R.png,images\Tan_batch_2_to_Cyrestis_tancrop\Atrophaneura semperi\Atrophaneura semperi IMG_158104_R.png
-1,Auca nycteropus IMG_050809.png,images\Tan_batch_2_to_Cyrestis_tancrop\Auca nycteropus\Auca nycteropus IMG_050809.png
-1,Azanus jesous IMG_000247.png,images\Tan_batch_2_to_Cyrestis_tancrop\Azanus jesous\Azanus jesous IMG_000247.png
-1,Baeotis bacaenis IMG_026205.png,images\Tan_batch_2_to_Cyrestis_tancrop\Baeotis bacaenis\Baeotis bacaenis IMG_026205.png
-1,Batesia hypochlora IMG_103559.png,images\Tan_batch_2_to_Cyrestis_tancrop\Batesia hypochlora\Batesia hypochlora IMG_103559.png
-1,Battus devilliersii IMG_090020.png,images\Tan_batch_2_to_Cyrestis_tancrop\Battus devilliersii\Battus devilliersii IMG_090020.png
-1,Battus ingenuus IMG_130204.png,images\Tan_batch_2_to_Cyrestis_tancrop\Battus ingenuus\Battus ingenuus IMG_130204.png
-1,Battus madyes IMG_130173.png,images\Tan_batch_2_to_Cyrestis_tancrop\Battus madyes\Battus madyes IMG_130173.png
-1,Bebearia barce IMG_096752.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bebearia barce\Bebearia barce IMG_096752.png
-1,Bebearia oxione IMG_097186.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bebearia oxione\Bebearia oxione IMG_097186.png
-1,Belenois aurota IMG_084002.png,images\Tan_batch_2_to_Cyrestis_tancrop\Belenois aurota\Belenois aurota IMG_084002.png
-1,Belenois zochalia IMG_083895.png,images\Tan_batch_2_to_Cyrestis_tancrop\Belenois zochalia\Belenois zochalia IMG_083895.png
-1,Bhutanitis lidderdalii IMG_089427.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bhutanitis lidderdalii\Bhutanitis lidderdalii IMG_089427.png
-1,Bhutanitis thaidina IMG_089430.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bhutanitis thaidina\Bhutanitis thaidina IMG_089430.png
-1,Bia actorion IMG_042357.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bia actorion\Bia actorion IMG_042357.png
-1,Bicyclus sciathis IMG_048513.png,images\Tan_batch_2_to_Cyrestis_tancrop\Bicyclus sciathis\Bicyclus sciathis IMG_048513.png
-1,Blepolenis batea IMG_126107.png,images\Tan_batch_2_to_Cyrestis_tancrop\Blepolenis batea\Blepolenis batea IMG_126107.png
-1,Boeberia parmenio IMG_049499.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boeberia parmenio\Boeberia parmenio IMG_049499.png
-1,Boloria alaskensis IMG_107936.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria alaskensis\Boloria alaskensis IMG_107936.png
-1,Boloria aquilonaris IMG_066438.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria aquilonaris\Boloria aquilonaris IMG_066438.png
-1,Boloria bellona IMG_108178.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria bellona\Boloria bellona IMG_108178.png
-1,Boloria chariclea IMG_107953.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria chariclea\Boloria chariclea IMG_107953.png
-1,Boloria freija IMG_107926.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria freija\Boloria freija IMG_107926.png
-1,Boloria frigga IMG_176111.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria frigga\Boloria frigga IMG_176111.png
-1,Boloria selene IMG_107805.png,images\Tan_batch_2_to_Cyrestis_tancrop\Boloria selene\Boloria selene IMG_107805.png
-1,Brachyglenis esthema IMG_156082.png,images\Tan_batch_2_to_Cyrestis_tancrop\Brachyglenis esthema\Brachyglenis esthema IMG_156082.png
-1,Caligo beltrao IMG_174503.png,images\Tan_batch_2_to_Cyrestis_tancrop\Caligo beltrao\Caligo beltrao IMG_174503.png
-1,Caligo oberthurii IMG_174677.png,images\Tan_batch_2_to_Cyrestis_tancrop\Caligo oberthurii\Caligo oberthurii IMG_174677.png
-1,Caligo uranus IMG_175950.png,images\Tan_batch_2_to_Cyrestis_tancrop\Caligo uranus\Caligo uranus IMG_175950.png
-1,Calisto obscura IMG_054860.png,images\Tan_batch_2_to_Cyrestis_tancrop\Calisto obscura\Calisto obscura IMG_054860.png
-1,Callicore atacama IMG_103335_R.png,images\Tan_batch_2_to_Cyrestis_tancrop\Callicore atacama\Callicore atacama IMG_103335_R.png
